service_name,latitude,longitude,service_type,service_icon,last_updated_at_UTC
Eastern Creek Organic Resource Recovery Facility,-33.8063287,150.851686299999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Paget Transfer Station,-21.1935109,149.164122899999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Wingfield Service Centre,-34.841899,138.556331,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Campbelltown Service Centre,-34.0584574,150.8479703,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Seven Hills Resource Recovery Centre,-33.7757289,150.952007099999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Rocklea Service Centre,-27.5589109,153.0001336,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Central Coast Resource Recovery Centre,-33.415831,151.321986,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Moruya Resource Recovery Centre,-35.8770588,150.086399799999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Eastern Creek Service Centre,-33.80628,150.851493,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Shoalhaven Service Centre,-34.909153,150.5861942,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Hogans Pocket Landfill,-21.3644986,148.9564218,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Kooragang Island Water Scheme,-32.8792181,151.7198639,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Nudgee Service Centre,-27.3860433999999,153.0927248,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
SUEZ Water Technologies Queensland,-23.947886,151.374559,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
North Bannister Resource Recovery Park,-32.5818943,116.4452825,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Cronulla Wastewater Treatment Plant,-34.0300531,151.1655708,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Dandenong South State Office,-38.020481,145.24447,Office,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-office-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=4ABB50DFDD38649C29B6B2B07B6B3B20CBFE6A12,19-Aug-2023 04:36:31
Central Coast Transfer Station,-33.415619,151.32207,Transfer station,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-transferstation-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=23D88F72BA074B5155A3A046416E3B5D1F025C58,19-Aug-2023 04:36:31
Kalgoorlie Service Centre,-30.7944495,121.490245,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Yorke Peninsula Service Centre,-34.7638195,137.594734499999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Mangere Wastewater Treatment plant,-36.9641749,174.777331399999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Aroona Alliance,-31.9079767,115.805869,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Queensland State Office,-27.388034,153.09011,Office,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-office-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=4ABB50DFDD38649C29B6B2B07B6B3B20CBFE6A12,19-Aug-2023 04:36:31
Pimpama Recycled Treatment Plant,-27.816667,153.299999999999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Perth Medical Solutions,-32.0018855,115.9701038,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Bathurst Service Centre,-33.4252059,149.6163685,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Bibra Lake Resource Recovery Park,-32.1101558,115.806053799999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Perth Seawater Desalination Plant,-32.2048199,115.7735708,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Noosa Sewage Treatment Plant,-26.4133712,153.0864827,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Bibra Lake Organic Transfer Station,-32.1105042,115.811315499999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Shale Road Landfill,-32.2630641,116.0142462,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Campbellfield Service Centre,-37.6507853,144.964227299999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Eurobodalla Service Centre,-35.877226,150.086303,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Neerabup Biovision Advanced Resource Recovery Facility,-31.6774563,115.8080264,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Eastern Creek Advanced Resource Recovery Technology (ARRT) Facility,-33.806406,150.851772,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Moruya Material Recycling Facility,-35.877003,150.086399,Materials recycling,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-mrf.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=17A7BBC82A5431934B97313BE5B763A1C4C24BBC,19-Aug-2023 04:36:31
Bendigo Service Centre,-36.7056578,144.3188569,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Paget Service Centre,-21.193712,149.164177,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Gold Coast Service Centre,-27.9959092,153.3480733,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Chullora Resource Recovery Park,-33.8932344,151.041222299999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Victorian Desalination Project,-38.5875304,145.526541599999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Prospect Water Filtration Plant,-33.8486287,150.877308399999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Gippsland Service Centre,-38.1793656,146.5646397,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Geelong Service Centre,-38.0514654,144.3867489,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
SUEZ Water Technologies Western Australia,-32.01111,115.84712,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Beenyup Advanced Water Reclamation Plant Stage 3,-31.7779482,115.777858799999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Emerald Resource Recovery Centre,-23.524491,148.145003699999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Emerald Service Centre,-23.524476,148.145108,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Raymond Terrace Advanced Resource Recovery Park,-32.7305675,151.7474307,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Welshpool Resource Recovery Centre,-31.9885610999999,115.9621044,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Wingfield Resource Recovery Centre,-34.8420952,138.5560781,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Thales Mulwala Facility,-35.9903944999999,145.9866186,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Canberra Service Centre,-35.3495905,149.207465299999,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Adelaide SUEZ ResourceCo Recovery Facility,-34.8376312999999,138.5407291,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Dandenong South Service Centre,-38.020352,145.244489599999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Hampton Park Resource Recovery Park,-38.0541417,145.267187499999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Newcastle Service Centre,-32.8867712,151.7348081,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Camellia Resource Recovery Centre,-33.8192576,151.041070499999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Wetherill Park Resource Recovery Centre,-33.8370631,150.8964671,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Gnangara Service Centre,-31.7889644,115.854565699999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
SUEZ Water Technologies Victoria,-37.9065133999999,145.2430024,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Mount Barker Service Centre,-35.07909,138.874138,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Seaview Wastewater Treatment Plant,-41.238033,174.904409699999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Allwater Adelaide Services Alliance,-34.9289318999999,138.6036016,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Wingfield SUEZ Biosecurity - Medical Waste Treatment Facility,-34.842116,138.555609,Materials recycling,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-mrf.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=17A7BBC82A5431934B97313BE5B763A1C4C24BBC,19-Aug-2023 04:36:31
Elizabeth West Service Centre,-34.7104269,138.661396299999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Picton Resource Recovery Centre,-33.342901,115.7088761,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Taylors Road Landfill,-38.040725,145.232735,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Central Coast Resource Recovery Centre,-33.4156866,151.3220235,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Landsdale Resource Recovery Park,-31.8000692,115.8471394,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Gold Coast Proskips Construction & Demolition,-28.1053989,153.4203618,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Rhodes,-33.8333003,151.085962099999,Corporate,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-default.svg?h=12&w=12&v=1&d=20201110T233759Z&hash=CE2DAE7B4AEBC3386D7049FE792AF87F3EA9E71E,19-Aug-2023 04:36:31
Ballarat Service Centre,-37.5285395,143.8441443,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Cairns Advanced Resource Recovery Technology Facility,-16.9454346,145.7610221,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
EarthSure - SUEZ and Ventia Joint Venture,-38.040919,145.232659,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Camden Organic Resource Recovery Facility,-34.088568,150.7673134,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Bibra Lake Service Centre,-32.11245,115.80583,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Vales Point PS Water Reclamation plant,-33.1555009,151.5352608,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=41EC19F1090ED9A35D1F1ACA32DB2A6195EB6F56,19-Aug-2023 04:36:31
Busselton Service Centre,-33.6652843999999,115.3446638,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Revesby Quarantine Treatment Faciltiy,-33.9384376,151.0044142,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Belrose Transfer Station,-33.71626,151.215408,Transfer station,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-transferstation-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=23D88F72BA074B5155A3A046416E3B5D1F025C58,19-Aug-2023 04:36:31
Bairnsdale Service Centre,-37.839874,147.613612,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
